"name","current employee estimate","city","state"
"movingimage",49,"berlin","berlin"
"lfs financial systems",48,"berlin","berlin"
"gastrofix gmbh",48,"berlin","berlin"
"pubnative",48,"berlin","berlin"
"ac project gmbh",48,"berlin","berlin"
"snapshot gmbh",48,"berlin","berlin"
"diakonie station",48,"berlin","berlin"
"graft gmbh",48,"berlin","berlin"
"sofatutor gmbh",48,"berlin","berlin"
"helmholtz-gemeinschaft / helmholtz association",48,"berlin","berlin"
"berliner bank niederlassung der deutsche bank pgk ag",47,"berlin","berlin"
"triad berlin projektgesellschaft mbh",47,"berlin","berlin"
"momox gmbh",47,"berlin","berlin"
"priedemann buildings envelope consultants",47,"berlin","berlin"
"yoc",47,"berlin","berlin"
"taz, die tageszeitung",47,"berlin","berlin"
"ferdinand-braun-institut,  leibniz-institut für höchstfrequenztechnik",47,"berlin","berlin"
"productsup gmbh",47,"berlin","berlin"
"foodspring",47,"berlin","berlin"
"mrs.sporty gmbh",47,"berlin","berlin"
"pepper.com - the world's largest deal community",46,"berlin","berlin"
"modomoto | curated shopping gmbh",46,"berlin","berlin"
"book a tiger",46,"berlin","berlin"
"kiron open higher education",46,"berlin","berlin"
"gasag ag",46,"berlin","berlin"
"berliner stadtreinigung",46,"berlin","berlin"
"db kommunikationstechnik gmbh",45,"berlin","berlin"
"door2door | the mobility company",45,"berlin","berlin"
"medneo gmbh",45,"berlin","berlin"
"dilax intelcom",45,"berlin","berlin"
"infarm",44,"berlin","berlin"
"digital performance gmbh",44,"berlin","berlin"
"homebell",44,"berlin","berlin"
"mydriver - md digital mobility gmbh & co. kg",44,"berlin","berlin"
"empaua",44,"berlin","berlin"
"barmer",44,"berlin","berlin"
"t-labs, telekom innovation laboratories",43,"berlin","berlin"
"camunda",43,"berlin","berlin"
"berlin heart gmbh",43,"berlin","berlin"
"melag medizintechnik ohg",43,"berlin","berlin"
"icon incar",43,"berlin","berlin"
"german council on foreign relations",43,"berlin","berlin"
"berliner feuerwehr",43,"berlin","berlin"
"audatex autoonline gmbh",43,"berlin","berlin"
"assmann beraten + planen gmbh",43,"berlin","berlin"
"wefox",43,"berlin","berlin"
"ieg - investment banking group",42,"berlin","berlin"
"max planck institute for the history of science",42,"berlin","berlin"
"ernährungsberatung",42,"berlin","berlin"
"mayato",42,"berlin","berlin"
"opensynergy gmbh",42,"berlin","berlin"
"ddb berlin",42,"berlin","berlin"
"mbition mercedes-benz innovation lab",42,"berlin","berlin"
"european academy for taxes, economics & law",42,"berlin","berlin"
"freaks 4u gaming gmbh",41,"berlin","berlin"
"eit rawmaterials",41,"berlin","berlin"
"ctrl qs",41,"berlin","berlin"
"fonpit ag (androidpit / supercat)",41,"berlin","berlin"
"k - new media gmbh & co. kg",41,"berlin","berlin"
"median kliniken s.à r.l.",41,"berlin","berlin"
"cms hasche sigle",41,"berlin","berlin"
"kkld*",41,"berlin","berlin"
"billpay gmbh",41,"berlin","berlin"
"heinrich böll foundation",41,"berlin","berlin"
"factory berlin",41,"berlin","berlin"
"zageno inc.",40,"berlin","berlin"
"cine plus",40,"berlin","berlin"
"freunde von freunden",40,"berlin","berlin"
"snom technology ag",40,"berlin","berlin"
"quirin bank ag",40,"berlin","berlin"
"horizn studios",40,"berlin","berlin"
"ad2games",39,"berlin","berlin"
"softgames - mobile entertainment services gmbh",39,"berlin","berlin"
"free2move - the carsharing app",39,"berlin","berlin"
"enpact e.v.",39,"berlin","berlin"
"aklamio",38,"berlin","berlin"
"cb.e clausecker | bingel ag",38,"berlin","berlin"
"weißensee kunsthochschule berlin",38,"berlin","berlin"
"ecointense gmbh",38,"berlin","berlin"
"ic! berlin",38,"berlin","berlin"
"ib vogt gmbh",38,"berlin","berlin"
"hartung:consult",38,"berlin","berlin"
"ynd consult gmbh",38,"berlin","berlin"
"optivo, an episerver company",38,"berlin","berlin"
"icme international ag",38,"berlin","berlin"
"coup mobility gmbh",38,"berlin","berlin"
"amboss inc. // miamed gmbh",38,"berlin","berlin"
"lesara gmbh",38,"berlin","berlin"
"geschenkidee d&a gmbh",38,"berlin","berlin"
"heyjobs",38,"berlin","berlin"
"dojo madness",37,"berlin","berlin"
"max born institute for nonlinear optics and short pulse spectroscopy",37,"berlin","berlin"
"solarkiosk ag",37,"berlin","berlin"
"conference & touring",37,"berlin","berlin"
"skateistan",37,"berlin","berlin"
"sirius facilities gmbh",37,"berlin","berlin"
"altagram gmbh",37,"berlin","berlin"
"seven senders gmbh",37,"berlin","berlin"
"wikimedia deutschland e. v.",37,"berlin","berlin"
"hypoport ag",36,"berlin","berlin"
"juniqe | art. everywhere.",36,"berlin","berlin"
"isv",36,"berlin","berlin"
"gfai",36,"berlin","berlin"
"ratepay gmbh",36,"berlin","berlin"
"earlybird venture capital",36,"berlin","berlin"
"lala berlin gmbh",36,"berlin","berlin"
"bmw foundation herbert quandt",36,"berlin","berlin"
"softgarden e-recruiting gmbh",36,"berlin","berlin"
"watchmaster.com",36,"berlin","berlin"
"bookingkit",36,"berlin","berlin"
"enfore ag",36,"berlin","berlin"
"psicologo clinico",36,"berlin","berlin"
"jvs electronics pvt ltd",35,"berlin","berlin"
"joblift",35,"berlin","berlin"
"bigrep gmbh - large-scale 3d printers",35,"berlin","berlin"
"bundesverband deutsche startups",35,"berlin","berlin"
"kfzteile24 gmbh",35,"berlin","berlin"
"neofonie gmbh",35,"berlin","berlin"
"lendico global services gmbh",35,"berlin","berlin"
"useeds° gmbh",35,"berlin","berlin"
"tmg media group",35,"berlin","berlin"
"climate analytics",35,"berlin","berlin"
"takeda in deutschland",35,"berlin","berlin"
"zaechel ag",34,"berlin","berlin"
"heycar",34,"berlin","berlin"
"zlabels gmbh",34,"berlin","berlin"
"caroobi",34,"berlin","berlin"
"expondo gmbh",34,"berlin","berlin"
"interim group",34,"berlin","berlin"
"oetker digital gmbh",34,"berlin","berlin"
"teatro del lago",34,"berlin","berlin"
"eckert & ziegler ag",34,"berlin","berlin"
"s4g school for games gmbh",34,"berlin","berlin"
"vertical media gmbh",34,"berlin","berlin"
"medici living group",34,"berlin","berlin"
"swissbit ag",33,"berlin","berlin"
"moccu - digital experience",33,"berlin","berlin"
"betterplace.org",33,"berlin","berlin"
"optiopay group",33,"berlin","berlin"
"hisolutions ag",33,"berlin","berlin"
"beuth verlag gmbh",33,"berlin","berlin"
"mict - media in cooperation and transition",33,"berlin","berlin"
"hub:raum",33,"berlin","berlin"
"graebert gmbh",33,"berlin","berlin"
"victor's residenz-hotels",33,"berlin","berlin"
"coya ag",33,"berlin","berlin"
"haus der kulturen der welt",33,"berlin","berlin"
"vc/o",33,"berlin","berlin"
"juvalia & you",32,"berlin","berlin"
"zeitgold",32,"berlin","berlin"
"axel springer plug and play accelerator",32,"berlin","berlin"
"signon",32,"berlin","berlin"
"profitbricks deutschland",32,"berlin","berlin"
"adsquare",32,"berlin","berlin"
"fitness factory",32,"berlin","berlin"
"s·cape® gmbh",32,"berlin","berlin"
"solon energy gmbh",32,"berlin","berlin"
"hubject gmbh",32,"berlin","berlin"
